Size;Algorithm;Time
18;EK;0
18;EK;0
18;EK;0
18;Dinic;0
18;Dinic;0
18;Dinic;0
18;GT N3;0
18;GT N3;0
18;GT N3;0
18;GT Dyn;0
18;GT Dyn;0
18;GT Dyn;0
18;KR1992;0.001
18;KR1992;0.001
18;KR1992;0.001
18;KR Mod;0
18;KR Mod;0
18;KR Mod;0
18;GR;0
18;GR;0
18;GR;0.001
34;EK;0
34;EK;0
34;EK;0
34;Dinic;0
34;Dinic;0
34;Dinic;0
34;GT N3;0
34;GT N3;0
34;GT N3;0
34;GT Dyn;0
34;GT Dyn;0
34;GT Dyn;0
34;KR1992;0.005
34;KR1992;0.004
34;KR1992;0.002
34;KR Mod;0
34;KR Mod;0
34;KR Mod;0
34;GR;0.002
34;GR;0.001
34;GR;0.001
66;EK;0
66;EK;0
66;EK;0
66;Dinic;0
66;Dinic;0
66;Dinic;0.001
66;GT N3;0
66;GT N3;0
66;GT N3;0
66;GT Dyn;0
66;GT Dyn;0
66;GT Dyn;0
66;KR1992;0.011
66;KR1992;0.012
66;KR1992;0.011
66;KR Mod;0
66;KR Mod;0
66;KR Mod;0.001
66;GR;0.003
66;GR;0.003
66;GR;0.004
130;EK;0
130;EK;0
130;EK;0
130;Dinic;0.001
130;Dinic;0
130;Dinic;0
130;GT N3;0
130;GT N3;0
130;GT N3;0
130;GT Dyn;0.001
130;GT Dyn;0
130;GT Dyn;0
130;KR1992;0.052
130;KR1992;0.052
130;KR1992;0.051
130;KR Mod;0.001
130;KR Mod;0
130;KR Mod;0
130;GR;0.008
130;GR;0.008
130;GR;0.009
258;EK;0
258;EK;0.001
258;EK;0
258;Dinic;0.001
258;Dinic;0.001
258;Dinic;0.001
258;GT N3;0
258;GT N3;0
258;GT N3;0.001
258;GT Dyn;0.001
258;GT Dyn;0.001
258;GT Dyn;0.001
258;KR1992;0.206
258;KR1992;0.204
258;KR1992;0.21
258;KR Mod;0.001
258;KR Mod;0.001
258;KR Mod;0.001
258;GR;0.029
258;GR;0.029
258;GR;0.029
514;EK;0.002
514;EK;0.002
514;EK;0.002
514;Dinic;0.004
514;Dinic;0.004
514;Dinic;0.004
514;GT N3;0.001
514;GT N3;0.001
514;GT N3;0.002
514;GT Dyn;0.002
514;GT Dyn;0.002
514;GT Dyn;0.002
514;KR1992;0.81
514;KR1992;0.79
514;KR1992;0.793
514;KR Mod;0.004
514;KR Mod;0.004
514;KR Mod;0.003
514;GR;0.078
514;GR;0.078
514;GR;0.078
1026;EK;0.009
1026;EK;0.009
1026;EK;0.008
1026;Dinic;0.017
1026;Dinic;0.016
1026;Dinic;0.016
1026;GT N3;0.005
1026;GT N3;0.005
1026;GT N3;0.005
1026;GT Dyn;0.005
1026;GT Dyn;0.005
1026;GT Dyn;0.005
1026;KR1992;3.164
1026;KR1992;3.32
1026;KR1992;3.143
1026;KR Mod;0.016
1026;KR Mod;0.016
1026;KR Mod;0.016
1026;GR;0.274
1026;GR;0.274
1026;GR;0.274
2050;EK;0.039
2050;EK;0.038
2050;EK;0.038
2050;Dinic;0.074
2050;Dinic;0.074
2050;Dinic;0.074
2050;GT N3;0.018
2050;GT N3;0.017
2050;GT N3;0.017
2050;GT Dyn;0.015
2050;GT Dyn;0.015
2050;GT Dyn;0.014
