Size;Algorithm;Time
32770;EK;11.039
32770;EK;11.408
32770;EK;11.354
32770;Dinic;24.703
32770;Dinic;25.329
32770;Dinic;24.694
32770;GT N3;3.147
32770;GT N3;3.233
32770;GT N3;3.216
32770;GT Dyn;0.93
32770;GT Dyn;0.944
32770;GT Dyn;0.927
32770;KR1992;
32770;KR1992;
32770;KR1992;
32770;KR Mod;18.856
32770;KR Mod;18.793
32770;KR Mod;18.995
32770;GR;
32770;GR;
32770;GR;
65538;EK;75.023
65538;EK;72.817
65538;EK;72.907
65538;Dinic;152.601
65538;Dinic;153.274
65538;Dinic;152.612
65538;GT N3;12.623
65538;GT N3;12.613
65538;GT N3;12.64
65538;GT Dyn;2.52
65538;GT Dyn;2.525
65538;GT Dyn;2.562
65538;KR1992;
65538;KR1992;
65538;KR1992;
65538;KR Mod;110.356
