Size;Algorithm;Time
18;Dinic;0
18;Dinic;0
18;Dinic;0
34;Dinic;0
34;Dinic;0
34;Dinic;0
66;Dinic;0
66;Dinic;0
66;Dinic;0
130;Dinic;0.001
130;Dinic;0
130;Dinic;0.001
258;Dinic;0.002
258;Dinic;0.001
258;Dinic;0.001
514;Dinic;0.006
514;Dinic;0.005
514;Dinic;0.005
1026;Dinic;0.022
1026;Dinic;0.019
1026;Dinic;0.017
2050;Dinic;0.08
2050;Dinic;0.081
2050;Dinic;0.077
4098;Dinic;0.327
4098;Dinic;0.329
4098;Dinic;0.326
8194;Dinic;1.366
8194;Dinic;1.377
8194;Dinic;1.367
16386;Dinic;5.682
16386;Dinic;5.666
16386;Dinic;5.708
32770;Dinic;23.901
32770;Dinic;23.966
32770;Dinic;23.785
65538;Dinic;154.308
65538;Dinic;154.717
65538;Dinic;159.455
