Size;Algorithm;Time
18;EK;0
18;EK;0
18;EK;0
34;EK;0
34;EK;0
34;EK;0
66;EK;0
66;EK;0
66;EK;0
130;EK;0
130;EK;0
130;EK;0
258;EK;0.001
258;EK;0
258;EK;0.001
514;EK;0.002
514;EK;0.002
514;EK;0.002
1026;EK;0.009
1026;EK;0.009
1026;EK;0.01
2050;EK;0.044
2050;EK;0.04
2050;EK;0.039
4098;EK;0.163
4098;EK;0.162
4098;EK;0.167
8194;EK;0.685
8194;EK;0.669
8194;EK;0.686
16386;EK;2.744
16386;EK;2.706
16386;EK;2.741
32770;EK;10.976
32770;EK;11.185
32770;EK;11.398
65538;EK;73.318
65538;EK;74.114
65538;EK;74.685
131074;EK;355.087
131074;EK;353.4
131074;EK;351.913
