Size;Algorithm;Time
18;GT Dyn;0
18;GT Dyn;0
18;GT Dyn;0
34;GT Dyn;0
34;GT Dyn;0
34;GT Dyn;0
66;GT Dyn;0
66;GT Dyn;0
66;GT Dyn;0
130;GT Dyn;0.001
130;GT Dyn;0.001
130;GT Dyn;0
258;GT Dyn;0.001
258;GT Dyn;0.001
258;GT Dyn;0.001
514;GT Dyn;0.002
514;GT Dyn;0.002
514;GT Dyn;0.003
1026;GT Dyn;0.006
1026;GT Dyn;0.005
1026;GT Dyn;0.008
2050;GT Dyn;0.017
2050;GT Dyn;0.015
2050;GT Dyn;0.018
4098;GT Dyn;0.042
4098;GT Dyn;0.041
4098;GT Dyn;0.041
8194;GT Dyn;0.115
8194;GT Dyn;0.116
8194;GT Dyn;0.115
16386;GT Dyn;0.335
16386;GT Dyn;0.339
16386;GT Dyn;0.331
32770;GT Dyn;0.93
32770;GT Dyn;0.93
32770;GT Dyn;0.942
65538;GT Dyn;2.554
65538;GT Dyn;2.599
65538;GT Dyn;2.544
131074;GT Dyn;8.628
131074;GT Dyn;8.581
131074;GT Dyn;8.573
