Size;Algorithm;Time
18;GT N3;0
18;GT N3;0
18;GT N3;0
34;GT N3;0
34;GT N3;0
34;GT N3;0
66;GT N3;0
66;GT N3;0
66;GT N3;0.001
130;GT N3;0
130;GT N3;0
130;GT N3;0
258;GT N3;0
258;GT N3;0.001
258;GT N3;0.001
514;GT N3;0.001
514;GT N3;0.001
514;GT N3;0.002
1026;GT N3;0.004
1026;GT N3;0.004
1026;GT N3;0.004
2050;GT N3;0.015
2050;GT N3;0.015
2050;GT N3;0.016
4098;GT N3;0.053
4098;GT N3;0.055
4098;GT N3;0.055
8194;GT N3;0.192
8194;GT N3;0.191
8194;GT N3;0.19
16386;GT N3;0.711
16386;GT N3;0.709
16386;GT N3;0.704
32770;GT N3;2.518
32770;GT N3;2.54
32770;GT N3;2.542
65538;GT N3;9.296
65538;GT N3;9.233
65538;GT N3;9.254
131074;GT N3;35.036
