Size;Algorithm;Time
18;KR Mod;0
18;KR Mod;0
18;KR Mod;0
34;KR Mod;0
34;KR Mod;0
34;KR Mod;0
66;KR Mod;0
66;KR Mod;0
66;KR Mod;0
130;KR Mod;0
130;KR Mod;0
130;KR Mod;0.001
258;KR Mod;0.001
258;KR Mod;0.001
258;KR Mod;0.001
514;KR Mod;0.004
514;KR Mod;0.003
514;KR Mod;0.003
1026;KR Mod;0.016
1026;KR Mod;0.016
1026;KR Mod;0.015
2050;KR Mod;0.063
2050;KR Mod;0.069
2050;KR Mod;0.06
4098;KR Mod;0.238
4098;KR Mod;0.259
4098;KR Mod;0.258
8194;KR Mod;0.986
8194;KR Mod;1.076
8194;KR Mod;1.034
16386;KR Mod;3.979
16386;KR Mod;4.091
16386;KR Mod;4.058
32770;KR Mod;18.994
32770;KR Mod;19.346
32770;KR Mod;18.996
65538;KR Mod;110.272
65538;KR Mod;110.914
