a;b;Algorithm;Time
3;1;Dinic;0
3;1;Dinic;0
3;1;Dinic;0
4;2;Dinic;0
4;2;Dinic;0
4;2;Dinic;0
5;2;Dinic;0
5;2;Dinic;0
5;2;Dinic;0
6;2;Dinic;0
6;2;Dinic;0
6;2;Dinic;0
9;3;Dinic;0.001
9;3;Dinic;0.001
9;3;Dinic;0.001
12;3;Dinic;0.003
12;3;Dinic;0.003
12;3;Dinic;0.003
16;4;Dinic;0.013
16;4;Dinic;0.015
16;4;Dinic;0.012
21;4;Dinic;0.042
21;4;Dinic;0.036
21;4;Dinic;0.036
27;5;Dinic;0.134
27;5;Dinic;0.134
27;5;Dinic;0.134
36;6;Dinic;0.565
36;6;Dinic;0.562
36;6;Dinic;0.556
48;6;Dinic;1.82
48;6;Dinic;1.802
48;6;Dinic;1.81
64;8;Dinic;10.763
64;8;Dinic;10.645
64;8;Dinic;10.6
84;9;Dinic;40.574
84;9;Dinic;39.611
84;9;Dinic;39.135
111;10;Dinic;178.482
111;10;Dinic;173.146
111;10;Dinic;170.008
