a;b;Algorithm;Time
3;1;EK;0
3;1;EK;0
3;1;EK;0
4;2;EK;0
4;2;EK;0
4;2;EK;0
5;2;EK;0
5;2;EK;0
5;2;EK;0
6;2;EK;0
6;2;EK;0
6;2;EK;0
9;3;EK;0.001
9;3;EK;0.002
9;3;EK;0.002
12;3;EK;0.004
12;3;EK;0.004
12;3;EK;0.004
16;4;EK;0.032
16;4;EK;0.032
16;4;EK;0.032
21;4;EK;0.107
21;4;EK;0.11
21;4;EK;0.109
27;5;EK;0.522
27;5;EK;0.524
27;5;EK;0.529
36;6;EK;2.729
36;6;EK;2.74
36;6;EK;2.711
48;6;EK;9.354
48;6;EK;9.283
48;6;EK;9.314
64;8;EK;96.921
64;8;EK;96.973
64;8;EK;96.734
84;9;EK;447.584
84;9;EK;447.18
84;9;EK;449.62
