a;b;Algorithm;Time
3;1;GT Dyn;0
3;1;GT Dyn;0.001
3;1;GT Dyn;0
4;2;GT Dyn;0
4;2;GT Dyn;0
4;2;GT Dyn;0
5;2;GT Dyn;0.001
5;2;GT Dyn;0
5;2;GT Dyn;0.001
6;2;GT Dyn;0.001
6;2;GT Dyn;0.001
6;2;GT Dyn;0.002
9;3;GT Dyn;0.008
9;3;GT Dyn;0.009
9;3;GT Dyn;0.009
12;3;GT Dyn;0.05
12;3;GT Dyn;0.05
12;3;GT Dyn;0.05
16;4;GT Dyn;0.211
16;4;GT Dyn;0.212
16;4;GT Dyn;0.21
21;4;GT Dyn;0.63
21;4;GT Dyn;0.629
21;4;GT Dyn;0.625
27;5;GT Dyn;4.664
27;5;GT Dyn;4.681
27;5;GT Dyn;4.703
36;6;GT Dyn;18.539
36;6;GT Dyn;18.46
36;6;GT Dyn;18.529
48;6;GT Dyn;14.399
48;6;GT Dyn;14.368
48;6;GT Dyn;14.326
64;8;GT Dyn;266.384
64;8;GT Dyn;265.752
64;8;GT Dyn;277.427
