a;b;Algorithm;Time
3;1;GT N3;0
3;1;GT N3;0
3;1;GT N3;0
4;2;GT N3;0
4;2;GT N3;0
4;2;GT N3;0
5;2;GT N3;0
5;2;GT N3;0
5;2;GT N3;0
6;2;GT N3;0
6;2;GT N3;0.001
6;2;GT N3;0.001
9;3;GT N3;0.001
9;3;GT N3;0.001
9;3;GT N3;0.002
12;3;GT N3;0.009
12;3;GT N3;0.01
12;3;GT N3;0.009
16;4;GT N3;0.037
16;4;GT N3;0.036
16;4;GT N3;0.036
21;4;GT N3;0.11
21;4;GT N3;0.116
21;4;GT N3;0.109
27;5;GT N3;0.962
27;5;GT N3;0.985
27;5;GT N3;0.985
36;6;GT N3;4.204
36;6;GT N3;4.337
36;6;GT N3;4.433
48;6;GT N3;3.224
48;6;GT N3;3.231
48;6;GT N3;3.208
64;8;GT N3;68.232
64;8;GT N3;71.808
64;8;GT N3;66.979
84;9;GT N3;748.604
84;9;GT N3;771.559
84;9;GT N3;792.968
111;10;GT N3;709.583
111;10;GT N3;694.413
111;10;GT N3;695.625
