a;b;Algorithm;Time
3;1;KR Mod;0
3;1;KR Mod;0
3;1;KR Mod;0
4;2;KR Mod;0.001
4;2;KR Mod;0.001
4;2;KR Mod;0
5;2;KR Mod;0.001
5;2;KR Mod;0.001
5;2;KR Mod;0.001
6;2;KR Mod;0.001
6;2;KR Mod;0.001
6;2;KR Mod;0.001
9;3;KR Mod;0.008
9;3;KR Mod;0.008
9;3;KR Mod;0.006
12;3;KR Mod;0.023
12;3;KR Mod;0.023
12;3;KR Mod;0.025
16;4;KR Mod;0.113
16;4;KR Mod;0.118
16;4;KR Mod;0.114
21;4;KR Mod;0.396
21;4;KR Mod;0.392
21;4;KR Mod;0.396
27;5;KR Mod;3.691
27;5;KR Mod;3.753
27;5;KR Mod;3.747
36;6;KR Mod;15.578
36;6;KR Mod;15.631
36;6;KR Mod;15.473
48;6;KR Mod;9.044
48;6;KR Mod;8.563
48;6;KR Mod;8.555
64;8;KR Mod;441.117
64;8;KR Mod;445.224
64;8;KR Mod;446.059
