a;b;Algorithm;Time
2;4;Dinic;0
2;4;Dinic;0
2;4;Dinic;0
2;5;Dinic;0
2;5;Dinic;0
2;5;Dinic;0
2;8;Dinic;0
2;8;Dinic;0
2;8;Dinic;0
3;11;Dinic;0
3;11;Dinic;0
3;11;Dinic;0
4;16;Dinic;0.001
4;16;Dinic;0.001
4;16;Dinic;0
4;22;Dinic;0.002
4;22;Dinic;0.002
4;22;Dinic;0.002
5;32;Dinic;0.007
5;32;Dinic;0.006
5;32;Dinic;0.007
6;45;Dinic;0.027
6;45;Dinic;0.028
6;45;Dinic;0.029
8;64;Dinic;0.234
8;64;Dinic;0.231
8;64;Dinic;0.23
9;90;Dinic;0.68
9;90;Dinic;0.681
9;90;Dinic;0.688
11;128;Dinic;3.419
11;128;Dinic;3.338
11;128;Dinic;3.349
13;181;Dinic;14.116
13;181;Dinic;14.03
13;181;Dinic;13.871
16;256;Dinic;93.945
16;256;Dinic;93.426
16;256;Dinic;93.089
