a;b;Algorithm;Time
2;4;EK;0
2;4;EK;0
2;4;EK;0
2;5;EK;0
2;5;EK;0
2;5;EK;0
2;8;EK;0
2;8;EK;0
2;8;EK;0
3;11;EK;0
3;11;EK;0
3;11;EK;0.001
4;16;EK;0.002
4;16;EK;0.002
4;16;EK;0.002
4;22;EK;0.003
4;22;EK;0.002
4;22;EK;0.004
5;32;EK;0.016
5;32;EK;0.016
5;32;EK;0.016
6;45;EK;0.073
6;45;EK;0.073
6;45;EK;0.071
8;64;EK;0.572
8;64;EK;0.552
8;64;EK;0.55
9;90;EK;1.738
9;90;EK;1.782
9;90;EK;1.751
11;128;EK;9.263
11;128;EK;9.038
11;128;EK;9.076
13;181;EK;61.313
13;181;EK;59.877
13;181;EK;59.503
16;256;EK;323.268
16;256;EK;319.575
16;256;EK;319.651
