a;b;Algorithm;Time
2;4;GT Dyn;0
2;4;GT Dyn;0.001
2;4;GT Dyn;0
2;5;GT Dyn;0
2;5;GT Dyn;0
2;5;GT Dyn;0
2;8;GT Dyn;0.001
2;8;GT Dyn;0.001
2;8;GT Dyn;0.001
3;11;GT Dyn;0.003
3;11;GT Dyn;0.003
3;11;GT Dyn;0.003
4;16;GT Dyn;0.026
4;16;GT Dyn;0.029
4;16;GT Dyn;0.029
4;22;GT Dyn;0.036
4;22;GT Dyn;0.037
4;22;GT Dyn;0.036
5;32;GT Dyn;0.157
5;32;GT Dyn;0.167
5;32;GT Dyn;0.177
6;45;GT Dyn;0.661
6;45;GT Dyn;0.645
6;45;GT Dyn;0.645
8;64;GT Dyn;1.67
8;64;GT Dyn;1.662
8;64;GT Dyn;1.656
9;90;GT Dyn;24.216
9;90;GT Dyn;24.176
9;90;GT Dyn;24.221
11;128;GT Dyn;89.887
11;128;GT Dyn;90.116
11;128;GT Dyn;89.983
13;181;GT Dyn;618.48
