a;b;Algorithm;Time
2;4;GT N3;0
2;4;GT N3;0
2;4;GT N3;0
2;5;GT N3;0
2;5;GT N3;0
2;5;GT N3;0
2;8;GT N3;0
2;8;GT N3;0
2;8;GT N3;0
3;11;GT N3;0
3;11;GT N3;0.001
3;11;GT N3;0.001
4;16;GT N3;0.006
4;16;GT N3;0.005
4;16;GT N3;0.005
4;22;GT N3;0.007
4;22;GT N3;0.006
4;22;GT N3;0.007
5;32;GT N3;0.029
5;32;GT N3;0.031
5;32;GT N3;0.03
6;45;GT N3;0.138
6;45;GT N3;0.135
6;45;GT N3;0.149
8;64;GT N3;0.358
8;64;GT N3;0.353
8;64;GT N3;0.343
9;90;GT N3;6.554
9;90;GT N3;6.597
9;90;GT N3;6.478
11;128;GT N3;26.236
11;128;GT N3;26.097
11;128;GT N3;25.136
13;181;GT N3;211.642
13;181;GT N3;210.009
13;181;GT N3;207.153
16;256;GT N3;367.086
16;256;GT N3;406.405
16;256;GT N3;405.65
