a;b;Algorithm;Time
2;4;GT Dyn;0
2;4;GT Dyn;0
2;4;GT Dyn;0
2;5;GT Dyn;0
2;5;GT Dyn;0.001
2;5;GT Dyn;0
2;8;GT Dyn;0
2;8;GT Dyn;0.001
2;8;GT Dyn;0
3;11;GT Dyn;0.003
3;11;GT Dyn;0.003
3;11;GT Dyn;0.002
4;16;GT Dyn;0.026
4;16;GT Dyn;0.026
4;16;GT Dyn;0.026
4;22;GT Dyn;0.036
4;22;GT Dyn;0.036
4;22;GT Dyn;0.036
5;32;GT Dyn;0.158
5;32;GT Dyn;0.159
5;32;GT Dyn;0.158
6;45;GT Dyn;0.666
6;45;GT Dyn;0.666
6;45;GT Dyn;0.668
8;64;GT Dyn;1.731
8;64;GT Dyn;1.72
8;64;GT Dyn;1.72
9;90;GT Dyn;25.052
9;90;GT Dyn;24.692
9;90;GT Dyn;24.777
11;128;GT Dyn;91.274
11;128;GT Dyn;91.403
11;128;GT Dyn;93.035
