a;b;Algorithm;Time
2;4;GR;0
2;4;GR;0
2;4;GR;0
2;5;GR;0
2;5;GR;0.001
2;5;GR;0
2;8;GR;0
2;8;GR;0
2;8;GR;0
3;11;GR;0.004
3;11;GR;0.003
3;11;GR;0.004
4;16;GR;0.017
4;16;GR;0.017
4;16;GR;0.017
4;22;GR;0.025
4;22;GR;0.029
4;22;GR;0.026
5;32;GR;0.089
5;32;GR;0.09
5;32;GR;0.091
6;45;GR;0.248
6;45;GR;0.254
6;45;GR;0.248
8;64;GR;1.07
8;64;GR;1.075
8;64;GR;1.078
9;90;GR;2.6
9;90;GR;2.62
9;90;GR;2.614
11;128;GR;8.976
11;128;GR;8.534
11;128;GR;8.551
13;181;GR;38.237
13;181;GR;37.414
13;181;GR;37.286
16;256;GR;50.291
16;256;GR;50.324
16;256;GR;50.363
