a;b;Algorithm;Time
2;4;KR Mod;0
2;4;KR Mod;0
2;4;KR Mod;0
2;5;KR Mod;0
2;5;KR Mod;0
2;5;KR Mod;0
2;8;KR Mod;0
2;8;KR Mod;0.001
2;8;KR Mod;0
3;11;KR Mod;0.002
3;11;KR Mod;0.001
3;11;KR Mod;0.001
4;16;KR Mod;0.013
4;16;KR Mod;0.013
4;16;KR Mod;0.013
4;22;KR Mod;0.018
4;22;KR Mod;0.018
4;22;KR Mod;0.018
5;32;KR Mod;0.105
5;32;KR Mod;0.102
5;32;KR Mod;0.105
6;45;KR Mod;0.454
6;45;KR Mod;0.458
6;45;KR Mod;0.458
8;64;KR Mod;1.196
8;64;KR Mod;1.202
8;64;KR Mod;1.207
9;90;KR Mod;21.008
9;90;KR Mod;20.944
9;90;KR Mod;20.598
11;128;KR Mod;83.299
11;128;KR Mod;81.716
11;128;KR Mod;81.804
13;181;KR Mod;925.385
13;181;KR Mod;942.675
13;181;KR Mod;985.009
