Size;Algorithm;Time
18;Dinic;2.4653e-005
18;Dinic;1.26596e-005
18;Dinic;1.43254e-005
34;Dinic;3.23154e-005
34;Dinic;3.16491e-005
34;Dinic;2.76513e-005
66;Dinic;8.42864e-005
66;Dinic;8.16213e-005
66;Dinic;8.26207e-005
130;Dinic;0.000260855
130;Dinic;0.000280844
130;Dinic;0.000260189
258;Dinic;0.00100111
258;Dinic;0.0010191
258;Dinic;0.000993114
514;Dinic;0.00401143
514;Dinic;0.00401477
514;Dinic;0.00398678
1026;Dinic;0.0160917
1026;Dinic;0.0162883
1026;Dinic;0.016167
2050;Dinic;0.0740358
2050;Dinic;0.0738772
2050;Dinic;0.0742031
4098;Dinic;0.320133
4098;Dinic;0.323105
4098;Dinic;0.323005
8194;Dinic;1.35018
8194;Dinic;1.34487
8194;Dinic;1.33879
16386;Dinic;5.63087
16386;Dinic;5.61524
16386;Dinic;5.65312
32770;Dinic;22.9663
32770;Dinic;22.9475
32770;Dinic;22.978
65538;Dinic;144.606
65538;Dinic;144.244
65538;Dinic;144.454
