Size;Algorithm;Time
18;EK;1.59911e-005
18;EK;1.09939e-005
18;EK;7.6624e-006
34;EK;1.46585e-005
34;EK;1.5658e-005
34;EK;1.29928e-005
66;EK;4.06441e-005
66;EK;4.19766e-005
66;EK;4.33092e-005
130;EK;0.000142587
130;EK;0.000166574
130;EK;0.000147585
258;EK;0.000577345
258;EK;0.000565352
258;EK;0.00056935
514;EK;0.00218079
514;EK;0.00220078
514;EK;0.00222709
1026;EK;0.008993
1026;EK;0.00864486
1026;EK;0.00887673
2050;EK;0.0555824
2050;EK;0.0388987
2050;EK;0.039492
4098;EK;0.161974
4098;EK;0.161248
4098;EK;0.16479
8194;EK;0.66798
8194;EK;0.659413
8194;EK;0.677601
16386;EK;2.72769
16386;EK;2.66493
16386;EK;2.70291
32770;EK;10.7613
32770;EK;10.6755
32770;EK;11.0625
65538;EK;68.8602
65538;EK;69.1594
65538;EK;69.0048
131074;EK;336.962
