Size;Algorithm;Time
18;GTDRGR;5.79678e-005
18;GTDRGR;4.93059e-005
18;GTDRGR;3.46474e-005
34;GTDRGR;4.76402e-005
34;GTDRGR;4.43087e-005
34;GTDRGR;4.59744e-005
66;GTDRGR;8.02887e-005
66;GTDRGR;7.69572e-005
66;GTDRGR;7.99555e-005
130;GTDRGR;0.000136258
130;GTDRGR;0.000129595
130;GTDRGR;0.000197224
258;GTDRGR;0.000252526
258;GTDRGR;0.00024553
258;GTDRGR;0.000246196
514;GTDRGR;0.000480066
514;GTDRGR;0.0004794
514;GTDRGR;0.000473403
1026;GTDRGR;0.000932148
1026;GTDRGR;0.000939477
1026;GTDRGR;0.000926151
2050;GTDRGR;0.00188895
2050;GTDRGR;0.00184231
2050;GTDRGR;0.00184331
4098;GTDRGR;0.00373026
4098;GTDRGR;0.00372859
4098;GTDRGR;0.00372726
8194;GTDRGR;0.00756712
8194;GTDRGR;0.00734858
8194;GTDRGR;0.00754813
16386;GTDRGR;0.0149787
16386;GTDRGR;0.0151329
16386;GTDRGR;0.0151449
32770;GTDRGR;0.0319702
32770;GTDRGR;0.0317483
32770;GTDRGR;0.0320858
65538;GTDRGR;22.902
65538;GTDRGR;23.0083
65538;GTDRGR;22.8762
131074;GTDRGR;107.631
131074;GTDRGR;106.213
131074;GTDRGR;107.201
262146;GTDRGR;465.877
