Size;Algorithm;Time
18;KR Mod;6.09661e-005
18;KR Mod;3.46474e-005
18;KR Mod;3.16491e-005
34;KR Mod;8.5619e-005
34;KR Mod;7.196e-005
34;KR Mod;7.4292e-005
66;KR Mod;0.000166241
66;KR Mod;0.000147251
66;KR Mod;0.000147251
130;KR Mod;0.000349139
130;KR Mod;0.000274847
130;KR Mod;0.000406774
258;KR Mod;0.00127129
258;KR Mod;0.00118101
258;KR Mod;0.00127429
514;KR Mod;0.00229073
514;KR Mod;0.00217146
514;KR Mod;0.00411138
1026;KR Mod;0.0160667
1026;KR Mod;0.0158475
1026;KR Mod;0.00752881
2050;KR Mod;0.0671543
2050;KR Mod;0.0696882
2050;KR Mod;0.0654003
4098;KR Mod;0.107129
4098;KR Mod;0.264569
4098;KR Mod;0.265316
8194;KR Mod;0.431518
8194;KR Mod;1.10183
8194;KR Mod;0.429689
16386;KR Mod;4.51702
16386;KR Mod;4.56134
16386;KR Mod;4.53411
32770;KR Mod;21.2412
32770;KR Mod;21.2016
32770;KR Mod;21.1565
65538;KR Mod;130.657
65538;KR Mod;121.27
65538;KR Mod;131.62
