Size;Algorithm;Time
18;KR1992MDGR;0.000132593
18;KR1992MDGR;6.82953e-005
18;KR1992MDGR;6.86285e-005
34;KR1992MDGR;0.00015658
34;KR1992MDGR;0.000141588
34;KR1992MDGR;0.000194892
66;KR1992MDGR;0.000386785
66;KR1992MDGR;0.000355802
66;KR1992MDGR;0.000362465
130;KR1992MDGR;0.00117135
130;KR1992MDGR;0.00117268
130;KR1992MDGR;0.00116202
258;KR1992MDGR;0.00467473
258;KR1992MDGR;0.00459411
258;KR1992MDGR;0.00461543
514;KR1992MDGR;0.02156
514;KR1992MDGR;0.0213441
514;KR1992MDGR;0.0212209
1026;KR1992MDGR;0.118618
1026;KR1992MDGR;0.118651
1026;KR1992MDGR;0.118932
2050;KR1992MDGR;0.782996
2050;KR1992MDGR;0.7798
2050;KR1992MDGR;0.779964
4098;KR1992MDGR;5.70204
4098;KR1992MDGR;5.71251
4098;KR1992MDGR;5.72181
8194;KR1992MDGR;44.3969
8194;KR1992MDGR;44.4309
8194;KR1992MDGR;44.51
16386;KR1992MDGR;386.797
