Size;Algorithm;Time
18;KR1992MDRGR;0.000105941
18;KR1992MDRGR;5.397e-005
18;KR1992MDRGR;5.36368e-005
34;KR1992MDRGR;9.76124e-005
34;KR1992MDRGR;8.69516e-005
34;KR1992MDRGR;9.62798e-005
66;KR1992MDRGR;0.000220877
66;KR1992MDRGR;0.000155247
66;KR1992MDRGR;0.000158578
130;KR1992MDRGR;0.000572348
130;KR1992MDRGR;0.00054503
130;KR1992MDRGR;0.000302498
258;KR1992MDRGR;0.001806
258;KR1992MDRGR;0.000685619
258;KR1992MDRGR;0.000672626
514;KR1992MDRGR;0.00181799
514;KR1992MDRGR;0.00248828
514;KR1992MDRGR;0.00641676
1026;KR1992MDRGR;0.0285971
1026;KR1992MDRGR;0.00493392
1026;KR1992MDRGR;0.00471238
2050;KR1992MDRGR;0.0254325
2050;KR1992MDRGR;0.149248
2050;KR1992MDRGR;0.149541
4098;KR1992MDRGR;0.92368
4098;KR1992MDRGR;0.921714
4098;KR1992MDRGR;0.922421
8194;KR1992MDRGR;0.212997
8194;KR1992MDRGR;0.211787
8194;KR1992MDRGR;6.60725
16386;KR1992MDRGR;0.873466
16386;KR1992MDRGR;0.869395
16386;KR1992MDRGR;0.870209
32770;KR1992MDRGR;3.76843
32770;KR1992MDRGR;3.75968
32770;KR1992MDRGR;3.75985
65538;KR1992MDRGR;15.8554
65538;KR1992MDRGR;16.2398
65538;KR1992MDRGR;15.8689
131074;KR1992MDRGR;65.4307
131074;KR1992MDRGR;65.3994
131074;KR1992MDRGR;238.807
