Size;Algorithm;Time
18;KR1992M3RGR;7.92892e-005
18;KR1992M3RGR;4.13104e-005
18;KR1992M3RGR;3.93115e-005
34;KR1992M3RGR;8.66185e-005
34;KR1992M3RGR;8.26207e-005
34;KR1992M3RGR;7.29594e-005
66;KR1992M3RGR;0.000175902
66;KR1992M3RGR;0.000144586
66;KR1992M3RGR;0.000149583
130;KR1992M3RGR;0.00043076
130;KR1992M3RGR;0.000372459
130;KR1992M3RGR;0.000367795
258;KR1992M3RGR;0.00125997
258;KR1992M3RGR;0.00127896
258;KR1992M3RGR;0.00116668
514;KR1992M3RGR;0.00423065
514;KR1992M3RGR;0.00398978
514;KR1992M3RGR;0.00447584
1026;KR1992M3RGR;0.0178034
1026;KR1992M3RGR;0.0155357
1026;KR1992M3RGR;0.0154627
2050;KR1992M3RGR;0.0705134
2050;KR1992M3RGR;0.0716655
2050;KR1992M3RGR;0.0616034
4098;KR1992M3RGR;0.278348
4098;KR1992M3RGR;0.243855
4098;KR1992M3RGR;0.274482
8194;KR1992M3RGR;1.10433
8194;KR1992M3RGR;0.974302
8194;KR1992M3RGR;0.972718
16386;KR1992M3RGR;3.87245
16386;KR1992M3RGR;3.90998
16386;KR1992M3RGR;3.903
32770;KR1992M3RGR;23.9959
32770;KR1992M3RGR;24.7454
32770;KR1992M3RGR;24.3114
65538;KR1992M3RGR;134.898
65538;KR1992M3RGR;129.223
65538;KR1992M3RGR;138.067
