Size;Algorithm;Time
18;KR1992RGR;0.00101677
18;KR1992RGR;0.000908828
18;KR1992RGR;0.000927817
34;KR1992RGR;0.0033638
34;KR1992RGR;0.00313659
34;KR1992RGR;0.00341144
66;KR1992RGR;0.0151756
66;KR1992RGR;0.0144323
66;KR1992RGR;0.0138063
130;KR1992RGR;0.0615214
130;KR1992RGR;0.0586797
130;KR1992RGR;0.0560881
258;KR1992RGR;0.232864
258;KR1992RGR;0.240566
258;KR1992RGR;0.24133
514;KR1992RGR;0.928164
514;KR1992RGR;0.93464
514;KR1992RGR;1.00871
1026;KR1992RGR;4.27418
1026;KR1992RGR;3.84729
1026;KR1992RGR;4.23668
2050;KR1992RGR;16.1022
2050;KR1992RGR;18.6177
2050;KR1992RGR;18.3033
