Size;Algorithm;Time
32;Dinic;4.4975e-005
32;Dinic;3.76457e-005
32;Dinic;3.76457e-005
64;Dinic;0.000131593
64;Dinic;0.000132593
64;Dinic;0.00013126
128;Dinic;0.000717601
128;Dinic;0.000741254
128;Dinic;0.000735591
256;Dinic;0.00754047
256;Dinic;0.00516979
256;Dinic;0.00505119
512;Dinic;0.0408646
512;Dinic;0.0408353
512;Dinic;0.0411861
1024;Dinic;0.429933
1024;Dinic;0.433285
1024;Dinic;0.433437
2048;Dinic;4.49396
2048;Dinic;4.48883
2048;Dinic;4.49378
4096;Dinic;36.9735
4096;Dinic;37.0643
4096;Dinic;39.3215
8192;Dinic;354.756
