Size;Algorithm;Time
32;GTDGR;8.62853e-005
32;GTDGR;6.7629e-005
32;GTDGR;7.12937e-005
64;GTDGR;0.000185563
64;GTDGR;0.000185563
64;GTDGR;0.000184897
128;GTDGR;0.000388784
128;GTDGR;0.000391782
128;GTDGR;0.000380455
256;GTDGR;0.00135858
256;GTDGR;0.00137923
256;GTDGR;0.00136891
512;GTDGR;0.00630416
512;GTDGR;0.00625385
512;GTDGR;0.00631749
1024;GTDGR;0.0358001
1024;GTDGR;0.0360683
1024;GTDGR;0.0362122
2048;GTDGR;0.165699
2048;GTDGR;0.167222
2048;GTDGR;0.167372
4096;GTDGR;0.713923
4096;GTDGR;0.712806
4096;GTDGR;0.714
8192;GTDGR;2.95833
8192;GTDGR;2.98075
8192;GTDGR;4.30511
