Size;Algorithm;Time
32;GTN3RGR;7.52914e-005
32;GTN3RGR;4.66407e-005
32;GTN3RGR;5.09716e-005
64;GTN3RGR;0.000246196
64;GTN3RGR;0.000244864
64;GTN3RGR;0.000246863
128;GTN3RGR;0.0010814
128;GTN3RGR;0.00106941
128;GTN3RGR;0.0010784
256;GTN3RGR;0.0061066
256;GTN3RGR;0.00607762
256;GTN3RGR;0.00609294
512;GTN3RGR;0.0242835
512;GTN3RGR;0.024003
512;GTN3RGR;0.0267245
1024;GTN3RGR;0.155806
1024;GTN3RGR;0.155729
1024;GTN3RGR;0.155568
2048;GTN3RGR;0.568576
2048;GTN3RGR;0.571043
2048;GTN3RGR;0.571502
4096;GTN3RGR;3.17388
4096;GTN3RGR;3.17086
4096;GTN3RGR;3.17084
8192;GTN3RGR;13.751
8192;GTN3RGR;14.1318
8192;GTN3RGR;14.6051
