Size;Algorithm;Time
32;GT N3;3.09828e-005
32;GT N3;1.69905e-005
32;GT N3;1.96557e-005
64;GT N3;5.99666e-005
64;GT N3;5.49694e-005
64;GT N3;5.8634e-005
128;GT N3;0.000208884
128;GT N3;0.000217879
128;GT N3;0.000201555
256;GT N3;0.000811215
256;GT N3;0.000794558
256;GT N3;0.000811882
512;GT N3;0.00427396
512;GT N3;0.00511749
512;GT N3;0.00864186
1024;GT N3;0.017951
1024;GT N3;0.0179487
1024;GT N3;0.0179447
2048;GT N3;0.0696876
2048;GT N3;0.0726569
2048;GT N3;0.0726156
4096;GT N3;0.331837
4096;GT N3;0.33206
4096;GT N3;0.338578
8192;GT N3;1.38587
8192;GT N3;1.56343
8192;GT N3;2.33313
