Size;Algorithm;Time
32;KR1992M3GR;0.000500388
32;KR1992M3GR;0.000314159
32;KR1992M3GR;0.000274847
64;KR1992M3GR;0.00176069
64;KR1992M3GR;0.00123931
64;KR1992M3GR;0.00142854
128;KR1992M3GR;0.00815047
128;KR1992M3GR;0.00616057
128;KR1992M3GR;0.00640177
256;KR1992M3GR;0.0419567
256;KR1992M3GR;0.0331336
256;KR1992M3GR;0.0314748
512;KR1992M3GR;0.205387
512;KR1992M3GR;0.172825
512;KR1992M3GR;0.168736
1024;KR1992M3GR;0.86563
1024;KR1992M3GR;0.756797
1024;KR1992M3GR;0.730454
2048;KR1992M3GR;4.00857
2048;KR1992M3GR;3.73546
2048;KR1992M3GR;3.47807
4096;KR1992M3GR;18.6354
4096;KR1992M3GR;17.4572
4096;KR1992M3GR;16.5004
8192;KR1992M3GR;366.623
