Size;Algorithm;Time
32;KR1992M3RGR;0.000482398
32;KR1992M3RGR;0.000308495
32;KR1992M3RGR;0.000278845
64;KR1992M3RGR;0.00176768
64;KR1992M3RGR;0.00121299
64;KR1992M3RGR;0.00155014
128;KR1992M3RGR;0.00830738
128;KR1992M3RGR;0.00631349
128;KR1992M3RGR;0.00620755
256;KR1992M3RGR;0.0409742
256;KR1992M3RGR;0.030646
256;KR1992M3RGR;0.0309618
512;KR1992M3RGR;0.210156
512;KR1992M3RGR;0.176428
512;KR1992M3RGR;0.16055
1024;KR1992M3RGR;0.886967
1024;KR1992M3RGR;2.16513
1024;KR1992M3RGR;0.741998
2048;KR1992M3RGR;4.05495
2048;KR1992M3RGR;8.24545
2048;KR1992M3RGR;3.51443
4096;KR1992M3RGR;18.8169
4096;KR1992M3RGR;30.5958
4096;KR1992M3RGR;16.5924
8192;KR1992M3RGR;354.219
