Size;Algorithm;Time
32;Dinic;5.6302e-005
32;Dinic;4.4975e-005
32;Dinic;4.7307e-005
64;Dinic;0.00016191
64;Dinic;0.000155913
64;Dinic;0.000158912
128;Dinic;0.000882509
128;Dinic;0.000866185
128;Dinic;0.000861521
256;Dinic;0.00621954
256;Dinic;0.006596
256;Dinic;0.00619222
512;Dinic;0.0436107
512;Dinic;0.043736
512;Dinic;0.0467936
1024;Dinic;0.465678
1024;Dinic;0.467707
1024;Dinic;0.468752
2048;Dinic;4.54383
2048;Dinic;4.54018
2048;Dinic;4.54218
4096;Dinic;38.2068
4096;Dinic;38.5425
4096;Dinic;38.6474
8192;Dinic;366.139
