a;b;Algorithm;Time
3;2;Dinic;2.39867e-005
3;2;Dinic;1.59911e-005
3;2;Dinic;1.63243e-005
4;2;Dinic;3.23154e-005
4;2;Dinic;3.29817e-005
4;2;Dinic;3.598e-005
5;2;Dinic;6.42976e-005
5;2;Dinic;6.42976e-005
5;2;Dinic;6.26318e-005
7;3;Dinic;0.00042543
7;3;Dinic;0.000420766
7;3;Dinic;0.0004201
9;3;Dinic;0.000967129
9;3;Dinic;0.000984119
9;3;Dinic;0.000969128
12;3;Dinic;0.00256824
12;3;Dinic;0.00256857
12;3;Dinic;0.00255191
16;4;Dinic;0.0124957
16;4;Dinic;0.0124144
16;4;Dinic;0.0124291
21;5;Dinic;0.0465274
21;5;Dinic;0.0464978
21;5;Dinic;0.0464945
28;5;Dinic;0.152277
28;5;Dinic;0.154426
28;5;Dinic;0.153437
37;6;Dinic;0.657581
37;6;Dinic;0.653135
37;6;Dinic;0.652395
49;7;Dinic;2.55994
49;7;Dinic;2.53398
49;7;Dinic;2.52999
64;8;Dinic;9.88717
64;8;Dinic;9.82459
64;8;Dinic;9.83553
84;9;Dinic;38.4303
84;9;Dinic;38.3635
84;9;Dinic;38.2208
111;11;Dinic;206.039
111;11;Dinic;199.358
111;11;Dinic;202.038
