a;b;Algorithm;Time
3;2;EK;1.43254e-005
3;2;EK;5.99666e-006
3;2;EK;7.99555e-006
4;2;EK;1.69905e-005
4;2;EK;1.83231e-005
4;2;EK;1.63243e-005
5;2;EK;3.99778e-005
5;2;EK;4.16435e-005
5;2;EK;3.93115e-005
7;3;EK;0.000464408
7;3;EK;0.000467407
7;3;EK;0.000464408
9;3;EK;0.00131094
9;3;EK;0.00131127
9;3;EK;0.00132626
12;3;EK;0.00422565
12;3;EK;0.00417668
12;3;EK;0.00415336
16;4;EK;0.0314305
16;4;EK;0.0309604
16;4;EK;0.031185
21;5;EK;0.178354
21;5;EK;0.17747
21;5;EK;0.175165
28;5;EK;0.612905
28;5;EK;0.610935
28;5;EK;0.610426
37;6;EK;3.0209
37;6;EK;3.01795
37;6;EK;3.00497
49;7;EK;14.3003
49;7;EK;14.2874
49;7;EK;14.2484
64;8;EK;89.012
64;8;EK;88.876
64;8;EK;88.9607
84;9;EK;434.144
