a;b;Algorithm;Time
2;4;Dinic;2.59855e-005
2;4;Dinic;1.49917e-005
2;4;Dinic;1.89894e-005
2;6;Dinic;1.76568e-005
2;6;Dinic;1.86563e-005
2;6;Dinic;2.23209e-005
3;8;Dinic;0.00011327
3;8;Dinic;0.000136258
3;8;Dinic;0.000113937
3;11;Dinic;0.00019789
3;11;Dinic;0.000196224
3;11;Dinic;0.000192893
4;16;Dinic;0.00102476
4;16;Dinic;0.00105208
4;16;Dinic;0.00103742
5;23;Dinic;0.00317923
5;23;Dinic;0.00318756
5;23;Dinic;0.00316924
6;32;Dinic;0.0122272
6;32;Dinic;0.0123072
6;32;Dinic;0.0123648
7;45;Dinic;0.0609847
7;45;Dinic;0.0610364
7;45;Dinic;0.0609857
8;64;Dinic;0.217815
8;64;Dinic;0.21528
8;64;Dinic;0.21633
10;91;Dinic;1.02367
10;91;Dinic;1.0224
10;91;Dinic;1.01251
11;128;Dinic;2.99309
11;128;Dinic;2.97688
11;128;Dinic;2.96797
13;181;Dinic;12.3881
13;181;Dinic;12.3868
13;181;Dinic;12.3981
16;256;Dinic;83.439
16;256;Dinic;83.1044
16;256;Dinic;83.1271
19;362;Dinic;492.441
