a;b;Algorithm;Time
2;4;EK;1.66574e-005
2;4;EK;6.99611e-006
2;4;EK;8.66185e-006
2;6;EK;9.66129e-006
2;6;EK;7.99555e-006
2;6;EK;9.32814e-006
3;8;EK;0.00010161
3;8;EK;0.000101943
3;8;EK;9.79455e-005
3;11;EK;0.000188562
3;11;EK;0.000185897
3;11;EK;0.000186896
4;16;EK;0.00174636
4;16;EK;0.0017337
4;16;EK;0.00172804
5;23;EK;0.00660399
5;23;EK;0.00654069
5;23;EK;0.0065387
6;32;EK;0.0309718
6;32;EK;0.0314842
6;32;EK;0.0314925
7;45;EK;0.152913
7;45;EK;0.154422
7;45;EK;0.151231
8;64;EK;0.553405
8;64;EK;0.552441
8;64;EK;0.550887
10;91;EK;2.74189
10;91;EK;2.72558
10;91;EK;2.73793
11;128;EK;8.17481
11;128;EK;8.19159
11;128;EK;8.1511
13;181;EK;52.8012
13;181;EK;51.6364
13;181;EK;51.9574
16;256;EK;333.398
16;256;EK;331.411
