a;b;Algorithm;Time
2;4;KR Mod;7.26263e-005
2;4;KR Mod;4.59744e-005
2;4;KR Mod;4.7307e-005
2;6;KR Mod;6.2965e-005
2;6;KR Mod;5.43031e-005
2;6;KR Mod;5.09716e-005
3;8;KR Mod;0.000475402
3;8;KR Mod;0.000404109
3;8;KR Mod;0.000411105
3;11;KR Mod;0.00062865
3;11;KR Mod;0.000554691
3;11;KR Mod;0.000615324
4;16;KR Mod;0.00332382
4;16;KR Mod;0.00349139
4;16;KR Mod;0.00340444
5;23;KR Mod;0.0785873
5;23;KR Mod;0.0844374
5;23;KR Mod;0.08561
6;32;KR Mod;0.381476
6;32;KR Mod;0.390393
6;32;KR Mod;0.386766
7;45;KR Mod;0.393347
7;45;KR Mod;0.391252
7;45;KR Mod;0.388845
8;64;KR Mod;0.970022
8;64;KR Mod;0.957755
8;64;KR Mod;0.97216
10;91;KR Mod;23.9408
10;91;KR Mod;23.6298
10;91;KR Mod;23.7421
11;128;KR Mod;13.5259
11;128;KR Mod;13.5738
11;128;KR Mod;13.557
13;181;KR Mod;696.434
