a;b;Algorithm;Time
2;4;KR1992MDRGR;0.000152915
2;4;KR1992MDRGR;9.69461e-005
2;4;KR1992MDRGR;0.000100278
2;6;KR1992MDRGR;9.99444e-005
2;6;KR1992MDRGR;8.52859e-005
2;6;KR1992MDRGR;8.46196e-005
3;8;KR1992MDRGR;0.00100511
3;8;KR1992MDRGR;0.00105142
3;8;KR1992MDRGR;0.000944475
3;11;KR1992MDRGR;0.00145253
3;11;KR1992MDRGR;0.00147385
3;11;KR1992MDRGR;0.0014925
4;16;KR1992MDRGR;0.00870216
4;16;KR1992MDRGR;0.00844963
4;16;KR1992MDRGR;0.00846995
5;23;KR1992MDRGR;0.185723
5;23;KR1992MDRGR;0.188043
5;23;KR1992MDRGR;0.179646
6;32;KR1992MDRGR;0.887292
6;32;KR1992MDRGR;0.882381
6;32;KR1992MDRGR;0.876732
7;45;KR1992MDRGR;0.908279
7;45;KR1992MDRGR;0.906153
7;45;KR1992MDRGR;0.898482
8;64;KR1992MDRGR;2.16518
8;64;KR1992MDRGR;2.17087
8;64;KR1992MDRGR;2.14366
10;91;KR1992MDRGR;51.9247
10;91;KR1992MDRGR;51.8095
10;91;KR1992MDRGR;52.0615
11;128;KR1992MDRGR;29.0953
11;128;KR1992MDRGR;29.1463
11;128;KR1992MDRGR;29.1482
