a;b;Algorithm;Time
2;4;KR1992RGR;0.000868184
2;4;KR1992RGR;0.000807218
2;4;KR1992RGR;0.00114803
2;6;KR1992RGR;0.00162843
2;6;KR1992RGR;0.00143587
2;6;KR1992RGR;0.00142587
3;8;KR1992RGR;0.0296742
3;8;KR1992RGR;0.0256724
3;8;KR1992RGR;0.0215903
3;11;KR1992RGR;0.0500035
3;11;KR1992RGR;0.0435388
3;11;KR1992RGR;0.0462816
4;16;KR1992RGR;0.287726
4;16;KR1992RGR;0.285117
4;16;KR1992RGR;0.267081
5;23;KR1992RGR;1.794
5;23;KR1992RGR;1.78088
5;23;KR1992RGR;1.78188
6;32;KR1992RGR;6.92293
6;32;KR1992RGR;6.95348
6;32;KR1992RGR;6.93817
7;45;KR1992RGR;186.686
7;45;KR1992RGR;202.954
7;45;KR1992RGR;164.087
