Size;Algorithm;Time
32;KR Mod;0.00043809
32;KR Mod;0.000252859
32;KR Mod;0.000221543
64;KR Mod;0.00165042
64;KR Mod;0.00121832
64;KR Mod;0.00123165
128;KR Mod;0.00822442
128;KR Mod;0.00610327
128;KR Mod;0.00637379
256;KR Mod;0.0434851
256;KR Mod;0.034738
256;KR Mod;0.0345398
512;KR Mod;0.208806
512;KR Mod;0.174943
512;KR Mod;0.169785
1024;KR Mod;0.907783
1024;KR Mod;0.782698
1024;KR Mod;0.790046
2048;KR Mod;4.07169
2048;KR Mod;3.58418
2048;KR Mod;3.6008
4096;KR Mod;18.0232
4096;KR Mod;15.9045
4096;KR Mod;15.9544
8192;KR Mod;367.318
