Size;Algorithm;Time
32;KR1992M3GR;0.000507384
32;KR1992M3GR;0.000325152
32;KR1992M3GR;0.000323154
64;KR1992M3GR;0.00222609
64;KR1992M3GR;0.00175136
64;KR1992M3GR;0.0015638
128;KR1992M3GR;0.00972292
128;KR1992M3GR;0.00741487
128;KR1992M3GR;0.00701976
256;KR1992M3GR;0.0487889
256;KR1992M3GR;0.0391272
256;KR1992M3GR;0.0421479
512;KR1992M3GR;0.254769
512;KR1992M3GR;0.20701
512;KR1992M3GR;0.205368
1024;KR1992M3GR;1.07977
1024;KR1992M3GR;0.970836
1024;KR1992M3GR;0.975407
2048;KR1992M3GR;4.83848
2048;KR1992M3GR;4.36878
2048;KR1992M3GR;4.37034
4096;KR1992M3GR;22.6632
4096;KR1992M3GR;20.5384
4096;KR1992M3GR;20.8158
8192;KR1992M3GR;393.621
