a;b;Algorithm;Time
3;3;Dinic;3.73126e-005
3;3;Dinic;2.63187e-005
3;3;Dinic;2.53192e-005
3;3;Dinic;2.6985e-005
3;3;Dinic;2.53192e-005
3;3;Dinic;2.4653e-005
4;4;Dinic;0.00010794
4;4;Dinic;0.00010794
4;4;Dinic;0.000108273
5;5;Dinic;0.000281177
5;5;Dinic;0.000279178
5;5;Dinic;0.000279178
6;6;Dinic;0.000918156
6;6;Dinic;0.000921487
6;6;Dinic;0.000920488
8;8;Dinic;0.00307162
8;8;Dinic;0.00305896
8;8;Dinic;0.00305763
10;10;Dinic;0.0113647
10;10;Dinic;0.0115069
10;10;Dinic;0.0114243
13;13;Dinic;0.051484
13;13;Dinic;0.0515303
13;13;Dinic;0.0504986
16;16;Dinic;0.178168
16;16;Dinic;0.180803
16;16;Dinic;0.181483
20;20;Dinic;0.703911
20;20;Dinic;0.701151
20;20;Dinic;0.709169
25;25;Dinic;3.10649
25;25;Dinic;3.10672
25;25;Dinic;3.13518
32;32;Dinic;13.8654
32;32;Dinic;13.8612
32;32;Dinic;13.8366
40;40;Dinic;63.6533
40;40;Dinic;63.6971
40;40;Dinic;55.3786
51;51;Dinic;449.177
