a;b;Algorithm;Time
3;2;GTDGR;0.000533703
3;2;GTDGR;0.0005397
3;2;GTDGR;0.000503053
4;2;GTDGR;0.000558356
4;2;GTDGR;0.000536368
4;2;GTDGR;0.000541032
5;2;GTDGR;0.000682953
5;2;GTDGR;0.000729927
5;2;GTDGR;0.000707273
7;3;GTDGR;0.00192693
7;3;GTDGR;0.0019096
7;3;GTDGR;0.00190128
9;3;GTDGR;0.00387185
9;3;GTDGR;0.00387151
9;3;GTDGR;0.00390183
12;3;GTDGR;0.0105605
12;3;GTDGR;0.0105801
12;3;GTDGR;0.0105571
16;4;GTDGR;0.0606682
16;4;GTDGR;0.0609001
16;4;GTDGR;0.0603714
21;5;GTDGR;0.29614
21;5;GTDGR;0.296641
21;5;GTDGR;0.29635
28;5;GTDGR;0.969451
28;5;GTDGR;0.972678
28;5;GTDGR;0.975107
37;6;GTDGR;4.91333
37;6;GTDGR;4.67616
37;6;GTDGR;4.7806
49;7;GTDGR;23.6966
49;7;GTDGR;22.5048
49;7;GTDGR;22.8171
64;8;GTDGR;138.985
64;8;GTDGR;140.595
64;8;GTDGR;140.354
