a;b;Algorithm;Time
3;2;GTDRGR;0.000612659
3;2;GTDRGR;0.000560688
3;2;GTDRGR;0.00053237
4;2;GTDRGR;0.000616324
4;2;GTDRGR;0.000539367
4;2;GTDRGR;0.00061166
5;2;GTDRGR;0.000709605
5;2;GTDRGR;0.000713603
5;2;GTDRGR;0.000701277
7;3;GTDRGR;0.00667162
7;3;GTDRGR;0.00660766
7;3;GTDRGR;0.00661132
9;3;GTDRGR;0.00224742
9;3;GTDRGR;0.00222043
9;3;GTDRGR;0.00225741
12;3;GTDRGR;0.00411504
12;3;GTDRGR;0.00411804
12;3;GTDRGR;0.00406607
16;4;GTDRGR;0.0144949
16;4;GTDRGR;0.0142384
16;4;GTDRGR;0.0143947
21;5;GTDRGR;0.0324133
21;5;GTDRGR;0.0321564
21;5;GTDRGR;0.0322184
28;5;GTDRGR;0.0944914
28;5;GTDRGR;0.0943442
28;5;GTDRGR;0.0947629
37;6;GTDRGR;0.280282
37;6;GTDRGR;0.278698
37;6;GTDRGR;0.279378
49;7;GTDRGR;0.665247
49;7;GTDRGR;0.670095
49;7;GTDRGR;0.675544
64;8;GTDRGR;3.19414
64;8;GTDRGR;3.07031
64;8;GTDRGR;3.21464
84;9;GTDRGR;10.3521
84;9;GTDRGR;10.268
84;9;GTDRGR;10.3145
111;11;GTDRGR;37.113
111;11;GTDRGR;37.0011
111;11;GTDRGR;37.1926
147;12;GTDRGR;140.578
147;12;GTDRGR;134.132
147;12;GTDRGR;141.063
