a;b;Algorithm;Time
3;2;GTN3GR;2.86507e-005
3;2;GTN3GR;1.33259e-005
3;2;GTN3GR;1.33259e-005
4;2;GTN3GR;2.63187e-005
4;2;GTN3GR;2.73181e-005
4;2;GTN3GR;2.86507e-005
5;2;GTN3GR;5.46363e-005
5;2;GTN3GR;5.13048e-005
5;2;GTN3GR;5.09716e-005
7;3;GTN3GR;0.000590005
7;3;GTN3GR;0.000583009
7;3;GTN3GR;0.000587673
9;3;GTN3GR;0.00147651
9;3;GTN3GR;0.00147651
9;3;GTN3GR;0.00147818
12;3;GTN3GR;0.00510716
12;3;GTN3GR;0.00507618
12;3;GTN3GR;0.00509083
16;4;GTN3GR;0.0351794
16;4;GTN3GR;0.0350452
16;4;GTN3GR;0.0352757
21;5;GTN3GR;0.199745
21;5;GTN3GR;0.199403
21;5;GTN3GR;0.199268
28;5;GTN3GR;0.703232
28;5;GTN3GR;0.703905
28;5;GTN3GR;0.701738
37;6;GTN3GR;3.58253
37;6;GTN3GR;3.57739
37;6;GTN3GR;3.59811
49;7;GTN3GR;17.255
49;7;GTN3GR;17.1776
49;7;GTN3GR;17.2147
64;8;GTN3GR;105.871
64;8;GTN3GR;105.506
64;8;GTN3GR;104.57
84;9;GTN3GR;499.577
