a;b;Algorithm;Time
3;2;GTN3RGR;3.89783e-005
3;2;GTN3RGR;1.26596e-005
3;2;GTN3RGR;1.06607e-005
4;2;GTN3RGR;2.36535e-005
4;2;GTN3RGR;2.19878e-005
4;2;GTN3RGR;4.09772e-005
5;2;GTN3RGR;4.59744e-005
5;2;GTN3RGR;4.83065e-005
5;2;GTN3RGR;4.76402e-005
7;3;GTN3RGR;0.00101177
7;3;GTN3RGR;0.0010171
7;3;GTN3RGR;0.000995779
9;3;GTN3RGR;0.000667295
9;3;GTN3RGR;0.000659966
9;3;GTN3RGR;0.000677956
12;3;GTN3RGR;0.00157779
12;3;GTN3RGR;0.00157579
12;3;GTN3RGR;0.00158445
16;4;GTN3RGR;0.00890338
16;4;GTN3RGR;0.00891104
16;4;GTN3RGR;0.00890738
21;5;GTN3RGR;0.0283919
21;5;GTN3RGR;0.0284798
21;5;GTN3RGR;0.0284408
28;5;GTN3RGR;0.0846649
28;5;GTN3RGR;0.0843804
28;5;GTN3RGR;0.0846852
37;6;GTN3RGR;0.259839
37;6;GTN3RGR;0.261388
37;6;GTN3RGR;0.261556
49;7;GTN3RGR;0.869487
49;7;GTN3RGR;0.86614
49;7;GTN3RGR;0.871106
64;8;GTN3RGR;4.16082
64;8;GTN3RGR;4.15228
64;8;GTN3RGR;4.09921
84;9;GTN3RGR;14.9768
84;9;GTN3RGR;15.0663
84;9;GTN3RGR;14.8439
111;11;GTN3RGR;54.3076
111;11;GTN3RGR;54.3786
111;11;GTN3RGR;54.3215
147;12;GTN3RGR;180.656
147;12;GTN3RGR;181.729
147;12;GTN3RGR;180.73
