a;b;Algorithm;Time
3;2;KR Mod;8.96168e-005
3;2;KR Mod;4.89728e-005
3;2;KR Mod;4.29761e-005
4;2;KR Mod;0.000147585
4;2;KR Mod;0.000113603
4;2;KR Mod;0.000136924
5;2;KR Mod;0.000313825
5;2;KR Mod;0.000273181
5;2;KR Mod;0.000250527
7;3;KR Mod;0.00265586
7;3;KR Mod;0.00258123
7;3;KR Mod;0.00254458
9;3;KR Mod;0.00738689
9;3;KR Mod;0.00727162
9;3;KR Mod;0.00719366
12;3;KR Mod;0.0279738
12;3;KR Mod;0.0239767
12;3;KR Mod;0.0242119
16;4;KR Mod;0.207705
16;4;KR Mod;0.198982
16;4;KR Mod;0.198139
21;5;KR Mod;1.2183
21;5;KR Mod;1.21727
21;5;KR Mod;1.22323
28;5;KR Mod;0.784037
28;5;KR Mod;0.777597
28;5;KR Mod;0.778844
37;6;KR Mod;6.58556
37;6;KR Mod;6.59506
37;6;KR Mod;6.60762
49;7;KR Mod;167.967
49;7;KR Mod;168.147
49;7;KR Mod;168.78
64;8;KR Mod;319.018
