a;b;Algorithm;Time
3;2;KR1992GR;0.00106541
3;2;KR1992GR;0.000956135
3;2;KR1992GR;0.000954136
4;2;KR1992GR;0.00321754
4;2;KR1992GR;0.00319089
4;2;KR1992GR;0.00310127
5;2;KR1992GR;0.00805818
5;2;KR1992GR;0.00776834
5;2;KR1992GR;0.00784897
7;3;KR1992GR;0.102679
7;3;KR1992GR;0.101051
7;3;KR1992GR;0.100635
9;3;KR1992GR;0.285959
9;3;KR1992GR;0.284949
9;3;KR1992GR;0.286724
12;3;KR1992GR;1.00847
12;3;KR1992GR;1.00986
12;3;KR1992GR;1.01053
16;4;KR1992GR;6.34755
16;4;KR1992GR;6.38912
16;4;KR1992GR;6.3624
21;5;KR1992GR;503.337
21;5;KR1992GR;294.815
