a;b;Algorithm;Time
3;2;KR1992MDGR;0.000138923
3;2;KR1992MDGR;9.06163e-005
3;2;KR1992MDGR;8.52859e-005
4;2;KR1992MDGR;0.000192893
4;2;KR1992MDGR;0.000165575
4;2;KR1992MDGR;0.000165575
5;2;KR1992MDGR;0.000404442
5;2;KR1992MDGR;0.000394114
5;2;KR1992MDGR;0.000384453
7;3;KR1992MDGR;0.00247329
7;3;KR1992MDGR;0.00240466
7;3;KR1992MDGR;0.00241765
9;3;KR1992MDGR;0.00575613
9;3;KR1992MDGR;0.00565219
9;3;KR1992MDGR;0.0055649
12;3;KR1992MDGR;0.0178671
12;3;KR1992MDGR;0.0174949
12;3;KR1992MDGR;0.0176255
16;4;KR1992MDGR;0.11551
16;4;KR1992MDGR;0.11273
16;4;KR1992MDGR;0.113072
21;5;KR1992MDGR;0.591183
21;5;KR1992MDGR;0.588108
21;5;KR1992MDGR;0.589251
28;5;KR1992MDGR;1.96229
28;5;KR1992MDGR;1.95795
28;5;KR1992MDGR;1.94656
37;6;KR1992MDGR;9.49188
37;6;KR1992MDGR;9.53859
37;6;KR1992MDGR;9.55455
49;7;KR1992MDGR;49.9593
49;7;KR1992MDGR;49.8292
49;7;KR1992MDGR;50.2074
