a;b;Algorithm;Time
3;2;KR1992M3GR;8.76179e-005
3;2;KR1992M3GR;3.89783e-005
3;2;KR1992M3GR;3.89783e-005
4;2;KR1992M3GR;0.000114603
4;2;KR1992M3GR;7.82898e-005
4;2;KR1992M3GR;7.72903e-005
5;2;KR1992M3GR;0.000180899
5;2;KR1992M3GR;0.000141588
5;2;KR1992M3GR;0.000131927
7;3;KR1992M3GR;0.000964797
7;3;KR1992M3GR;0.000915491
7;3;KR1992M3GR;0.000834203
9;3;KR1992M3GR;0.00200788
9;3;KR1992M3GR;0.00192926
9;3;KR1992M3GR;0.00190261
12;3;KR1992M3GR;0.00590805
12;3;KR1992M3GR;0.00566518
12;3;KR1992M3GR;0.00573814
16;4;KR1992M3GR;0.0378703
16;4;KR1992M3GR;0.0385729
16;4;KR1992M3GR;0.0384599
21;5;KR1992M3GR;0.185723
21;5;KR1992M3GR;0.178604
21;5;KR1992M3GR;0.178532
28;5;KR1992M3GR;0.624041
28;5;KR1992M3GR;0.620674
28;5;KR1992M3GR;0.605791
37;6;KR1992M3GR;2.92702
37;6;KR1992M3GR;2.94516
37;6;KR1992M3GR;2.98236
49;7;KR1992M3GR;14.9506
49;7;KR1992M3GR;15.0015
49;7;KR1992M3GR;14.9436
64;8;KR1992M3GR;91.6786
64;8;KR1992M3GR;90.2902
64;8;KR1992M3GR;90.9665
84;9;KR1992M3GR;405.819
