a;b;Algorithm;Time
3;2;KR1992M3RGR;0.000111271
3;2;KR1992M3RGR;5.6302e-005
3;2;KR1992M3RGR;4.89728e-005
4;2;KR1992M3RGR;0.000170239
4;2;KR1992M3RGR;0.000138923
4;2;KR1992M3RGR;0.000126929
5;2;KR1992M3RGR;0.000320155
5;2;KR1992M3RGR;0.000277179
5;2;KR1992M3RGR;0.00027518
7;3;KR1992M3RGR;0.00093548
7;3;KR1992M3RGR;0.000877845
7;3;KR1992M3RGR;0.00084453
9;3;KR1992M3RGR;0.00506218
9;3;KR1992M3RGR;0.00495258
9;3;KR1992M3RGR;0.00488661
12;3;KR1992M3RGR;0.0160174
12;3;KR1992M3RGR;0.0163039
12;3;KR1992M3RGR;0.0158382
16;4;KR1992M3RGR;0.0825144
16;4;KR1992M3RGR;0.086212
16;4;KR1992M3RGR;0.0800288
21;5;KR1992M3RGR;0.374686
21;5;KR1992M3RGR;0.366729
21;5;KR1992M3RGR;0.36659
28;5;KR1992M3RGR;1.25677
28;5;KR1992M3RGR;1.25916
28;5;KR1992M3RGR;1.26204
37;6;KR1992M3RGR;5.31129
37;6;KR1992M3RGR;5.30046
37;6;KR1992M3RGR;5.30239
49;7;KR1992M3RGR;22.6723
49;7;KR1992M3RGR;22.5414
49;7;KR1992M3RGR;22.5821
64;8;KR1992M3RGR;108.369
64;8;KR1992M3RGR;107.833
64;8;KR1992M3RGR;107.955
84;9;KR1992M3RGR;457.21
