a;b;Algorithm;Time
3;2;KR1992RGR;0.00102743
3;2;KR1992RGR;0.000925485
3;2;KR1992RGR;0.000867184
4;2;KR1992RGR;0.00311627
4;2;KR1992RGR;0.00315991
4;2;KR1992RGR;0.00313526
5;2;KR1992RGR;0.00815913
5;2;KR1992RGR;0.00812181
5;2;KR1992RGR;0.00822842
7;3;KR1992RGR;0.103417
7;3;KR1992RGR;0.102752
7;3;KR1992RGR;0.102353
9;3;KR1992RGR;0.277796
9;3;KR1992RGR;0.281688
9;3;KR1992RGR;0.279617
12;3;KR1992RGR;0.968306
12;3;KR1992RGR;0.969371
12;3;KR1992RGR;0.970885
16;4;KR1992RGR;5.68354
16;4;KR1992RGR;5.7545
16;4;KR1992RGR;5.69076
21;5;KR1992RGR;242.392
21;5;KR1992RGR;287.841
21;5;KR1992RGR;228.417
