a;b;Algorithm;Time
2;4;KR Mod Dyn;0.000141921
2;4;KR Mod Dyn;8.69516e-005
2;4;KR Mod Dyn;8.29539e-005
2;6;KR Mod Dyn;9.62798e-005
2;6;KR Mod Dyn;8.29539e-005
2;6;KR Mod Dyn;8.02887e-005
3;8;KR Mod Dyn;0.00106474
3;8;KR Mod Dyn;0.00104908
3;8;KR Mod Dyn;0.00100744
3;11;KR Mod Dyn;0.00159978
3;11;KR Mod Dyn;0.00153348
3;11;KR Mod Dyn;0.00152582
4;16;KR Mod Dyn;0.00974525
4;16;KR Mod Dyn;0.00963764
4;16;KR Mod Dyn;0.00963031
5;23;KR Mod Dyn;0.188455
5;23;KR Mod Dyn;0.18508
5;23;KR Mod Dyn;0.185435
6;32;KR Mod Dyn;0.895159
6;32;KR Mod Dyn;0.901796
6;32;KR Mod Dyn;0.901451
7;45;KR Mod Dyn;0.948149
7;45;KR Mod Dyn;0.948372
7;45;KR Mod Dyn;0.94678
8;64;KR Mod Dyn;2.30785
8;64;KR Mod Dyn;2.30534
8;64;KR Mod Dyn;2.28338
10;91;KR Mod Dyn;52.8236
10;91;KR Mod Dyn;53.1929
10;91;KR Mod Dyn;52.9703
11;128;KR Mod Dyn;30.4351
11;128;KR Mod Dyn;30.3526
11;128;KR Mod Dyn;30.3379
