a;b;Algorithm;Time
2;4;KR1992GR;0.000840866
2;4;KR1992GR;0.000751249
2;4;KR1992GR;0.000717601
2;6;KR1992GR;0.00150083
2;6;KR1992GR;0.00135258
2;6;KR1992GR;0.0013146
3;8;KR1992GR;0.0186533
3;8;KR1992GR;0.018624
3;8;KR1992GR;0.0187119
3;11;KR1992GR;0.0378736
3;11;KR1992GR;0.0379429
3;11;KR1992GR;0.0374422
4;16;KR1992GR;0.25997
4;16;KR1992GR;0.26309
4;16;KR1992GR;0.261083
5;23;KR1992GR;1.90637
5;23;KR1992GR;1.90786
5;23;KR1992GR;1.9109
6;32;KR1992GR;8.24036
6;32;KR1992GR;8.25713
6;32;KR1992GR;8.25873
7;45;KR1992GR;200.683
7;45;KR1992GR;206.459
7;45;KR1992GR;185.285
