a;b;Algorithm;Time
2;4;KR1992M3RGR;0.000102943
2;4;KR1992M3RGR;4.86396e-005
2;4;KR1992M3RGR;4.29761e-005
2;6;KR1992M3RGR;6.12992e-005
2;6;KR1992M3RGR;5.83009e-005
2;6;KR1992M3RGR;4.56413e-005
3;8;KR1992M3RGR;0.000358134
3;8;KR1992M3RGR;0.000309161
3;8;KR1992M3RGR;0.000344808
3;11;KR1992M3RGR;0.000708606
3;11;KR1992M3RGR;0.000666296
3;11;KR1992M3RGR;0.000678289
4;16;KR1992M3RGR;0.00249528
4;16;KR1992M3RGR;0.00237968
4;16;KR1992M3RGR;0.00248428
5;23;KR1992M3RGR;0.0100874
5;23;KR1992M3RGR;0.00974558
5;23;KR1992M3RGR;0.00974058
6;32;KR1992M3RGR;0.0358834
6;32;KR1992M3RGR;0.0366893
6;32;KR1992M3RGR;0.0364874
7;45;KR1992M3RGR;0.11468
7;45;KR1992M3RGR;0.108665
7;45;KR1992M3RGR;0.114274
8;64;KR1992M3RGR;0.359767
8;64;KR1992M3RGR;0.361428
8;64;KR1992M3RGR;0.346644
10;91;KR1992M3RGR;1.45428
10;91;KR1992M3RGR;1.45843
10;91;KR1992M3RGR;1.4528
11;128;KR1992M3RGR;4.73216
11;128;KR1992M3RGR;4.6985
11;128;KR1992M3RGR;4.71053
13;181;KR1992M3RGR;27.7065
13;181;KR1992M3RGR;27.2001
13;181;KR1992M3RGR;26.9807
16;256;KR1992M3RGR;120.097
16;256;KR1992M3RGR;118.501
16;256;KR1992M3RGR;118.956
