a;b;Algorithm;Time
3;3;GR;0.00113504
3;3;GR;0.0010794
3;3;GR;0.0010804
3;3;GR;0.0010714
3;3;GR;0.00107573
3;3;GR;0.00106308
4;4;GR;0.00422065
4;4;GR;0.00416102
4;4;GR;0.00417901
5;5;GR;0.012623
5;5;GR;0.0125907
5;5;GR;0.0125857
6;6;GR;0.0277039
6;6;GR;0.0276613
6;6;GR;0.0275124
8;8;GR;0.103278
8;8;GR;0.103017
8;8;GR;0.104515
10;10;GR;0.312417
10;10;GR;0.312781
10;10;GR;0.314887
13;13;GR;1.02378
13;13;GR;1.03534
13;13;GR;1.04141
16;16;GR;2.75071
16;16;GR;2.76659
16;16;GR;2.74238
20;20;GR;7.6887
20;20;GR;7.71406
20;20;GR;7.74328
25;25;GR;22.8908
25;25;GR;23.2416
25;25;GR;23.5636
32;32;GR;110.268
32;32;GR;108.486
32;32;GR;108.02
40;40;GR;366.902
