a;b;Algorithm;Time
3;3;GTDGR;9.8945e-005
3;3;GTDGR;6.79622e-005
3;3;GTDGR;6.59633e-005
3;3;GTDGR;7.16268e-005
3;3;GTDGR;8.29539e-005
3;3;GTDGR;6.79622e-005
4;4;GTDGR;0.00031216
4;4;GTDGR;0.000311827
4;4;GTDGR;0.000301499
5;5;GTDGR;0.000725929
5;5;GTDGR;0.00071227
5;5;GTDGR;0.000711937
6;6;GTDGR;0.00248329
6;6;GTDGR;0.00246196
6;6;GTDGR;0.0024633
8;8;GTDGR;0.0113297
8;8;GTDGR;0.0115696
8;8;GTDGR;0.0113037
10;10;GTDGR;0.0467633
10;10;GTDGR;0.0469942
10;10;GTDGR;0.0472051
13;13;GTDGR;0.21736
13;13;GTDGR;0.216782
13;13;GTDGR;0.224375
16;16;GTDGR;0.743204
16;16;GTDGR;0.74512
16;16;GTDGR;0.76484
20;20;GTDGR;3.00965
20;20;GTDGR;2.98079
20;20;GTDGR;2.98171
25;25;GTDGR;14.886
25;25;GTDGR;14.899
25;25;GTDGR;14.9066
32;32;GTDGR;104.58
32;32;GTDGR;104.87
32;32;GTDGR;105.608
40;40;GTDGR;430.796
