a;b;Algorithm;Time
3;3;GTDRGR;9.42809e-005
3;3;GTDRGR;6.46307e-005
3;3;GTDRGR;6.82953e-005
3;3;GTDRGR;6.82953e-005
3;3;GTDRGR;6.7629e-005
3;3;GTDRGR;6.32981e-005
4;4;GTDRGR;0.000523375
4;4;GTDRGR;0.000520044
4;4;GTDRGR;0.000523375
5;5;GTDRGR;0.000475402
5;5;GTDRGR;0.000470738
5;5;GTDRGR;0.000466074
6;6;GTDRGR;0.00103709
6;6;GTDRGR;0.00102143
6;6;GTDRGR;0.00102643
8;8;GTDRGR;0.00271582
8;8;GTDRGR;0.00273881
8;8;GTDRGR;0.00274281
10;10;GTDRGR;0.00813447
10;10;GTDRGR;0.00818511
10;10;GTDRGR;0.00800488
13;13;GTDRGR;0.025796
13;13;GTDRGR;0.0261208
13;13;GTDRGR;0.0258813
16;16;GTDRGR;0.0543454
16;16;GTDRGR;0.0543941
16;16;GTDRGR;0.0548618
20;20;GTDRGR;0.122476
20;20;GTDRGR;0.117681
20;20;GTDRGR;0.118156
25;25;GTDRGR;0.398175
25;25;GTDRGR;0.398637
25;25;GTDRGR;0.389873
32;32;GTDRGR;1.82134
32;32;GTDRGR;1.82658
32;32;GTDRGR;1.83844
40;40;GTDRGR;4.79815
40;40;GTDRGR;4.79702
40;40;GTDRGR;4.83811
51;51;GTDRGR;10.8938
51;51;GTDRGR;10.9214
51;51;GTDRGR;10.9191
64;64;GTDRGR;56.092
64;64;GTDRGR;56.1001
64;64;GTDRGR;56.1856
81;81;GTDRGR;99.7346
81;81;GTDRGR;100.027
81;81;GTDRGR;99.8704
