a;b;Algorithm;Time
3;3;KR1992M3GR;0.000122265
3;3;KR1992M3GR;6.19655e-005
3;3;KR1992M3GR;6.19655e-005
3;3;KR1992M3GR;8.12881e-005
3;3;KR1992M3GR;6.7629e-005
3;3;KR1992M3GR;6.59633e-005
4;4;KR1992M3GR;0.000273515
4;4;KR1992M3GR;0.000223542
4;4;KR1992M3GR;0.000219211
5;5;KR1992M3GR;0.000717601
5;5;KR1992M3GR;0.000626985
5;5;KR1992M3GR;0.000640977
6;6;KR1992M3GR;0.00210316
6;6;KR1992M3GR;0.00198356
6;6;KR1992M3GR;0.00195191
8;8;KR1992M3GR;0.00848195
8;8;KR1992M3GR;0.00831271
8;8;KR1992M3GR;0.00842731
10;10;KR1992M3GR;0.033481
10;10;KR1992M3GR;0.0332828
10;10;KR1992M3GR;0.0330643
13;13;KR1992M3GR;0.158176
13;13;KR1992M3GR;0.149761
13;13;KR1992M3GR;0.143155
16;16;KR1992M3GR;0.513538
16;16;KR1992M3GR;0.506875
16;16;KR1992M3GR;0.508165
20;20;KR1992M3GR;2.01006
20;20;KR1992M3GR;2.01327
20;20;KR1992M3GR;2.00296
25;25;KR1992M3GR;9.58302
25;25;KR1992M3GR;9.67553
25;25;KR1992M3GR;9.91714
32;32;KR1992M3GR;68.8702
32;32;KR1992M3GR;68.0189
32;32;KR1992M3GR;67.7289
40;40;KR1992M3GR;282.074
40;40;KR1992M3GR;276.659
