a;b;Algorithm;Time
3;2;GT Dyn;8.89505e-005
3;2;GT Dyn;7.39589e-005
3;2;GT Dyn;7.32926e-005
4;2;GT Dyn;0.000236535
4;2;GT Dyn;0.000234536
4;2;GT Dyn;0.000232204
5;2;GT Dyn;0.000619322
5;2;GT Dyn;0.000616324
5;2;GT Dyn;0.000613325
7;3;GT Dyn;0.0128165
7;3;GT Dyn;0.00933514
7;3;GT Dyn;0.00636179
9;3;GT Dyn;0.0322197
9;3;GT Dyn;0.0213535
9;3;GT Dyn;0.0185847
12;3;GT Dyn;0.0553759
12;3;GT Dyn;0.0552869
12;3;GT Dyn;0.0551926
16;4;GT Dyn;0.354797
16;4;GT Dyn;0.354545
16;4;GT Dyn;0.354765
21;5;GT Dyn;1.83853
21;5;GT Dyn;1.83926
21;5;GT Dyn;1.83916
28;5;GT Dyn;1.43465
28;5;GT Dyn;1.4349
28;5;GT Dyn;1.43809
37;6;GT Dyn;10.4196
37;6;GT Dyn;10.3942
37;6;GT Dyn;10.4324
49;7;GT Dyn;128.816
49;7;GT Dyn;128.801
49;7;GT Dyn;129.979
64;8;GT Dyn;274.151
