a;b;Algorithm;Time
2;4;GT Dyn;0.000193226
2;4;GT Dyn;0.000181233
2;4;GT Dyn;0.000170239
2;6;GT Dyn;8.89505e-005
2;6;GT Dyn;8.76179e-005
2;6;GT Dyn;8.36201e-005
3;8;GT Dyn;0.00133459
3;8;GT Dyn;0.00138556
3;8;GT Dyn;0.00135991
3;11;GT Dyn;0.00199089
3;11;GT Dyn;0.00199356
3;11;GT Dyn;0.00198723
4;16;GT Dyn;0.00805219
4;16;GT Dyn;0.00810749
4;16;GT Dyn;0.00799788
5;23;GT Dyn;0.135463
5;23;GT Dyn;0.135333
5;23;GT Dyn;0.135186
6;32;GT Dyn;0.583167
6;32;GT Dyn;0.585111
6;32;GT Dyn;0.581508
7;45;GT Dyn;0.681683
7;45;GT Dyn;0.682491
7;45;GT Dyn;0.68
8;64;GT Dyn;1.5532
8;64;GT Dyn;1.55552
8;64;GT Dyn;1.55285
10;91;GT Dyn;28.8805
10;91;GT Dyn;28.9804
10;91;GT Dyn;29.1046
11;128;GT Dyn;16.3069
11;128;GT Dyn;16.2929
11;128;GT Dyn;16.3021
13;181;GT Dyn;577.281
