Size;Algorithm;Time
18;GTDGR;9.8279e-005
18;GTDGR;6.03e-005
18;GTDGR;5.86342e-005
34;GTDGR;8.99502e-005
34;GTDGR;8.79513e-005
34;GTDGR;8.36204e-005
66;GTDGR;0.000245531
66;GTDGR;0.000241533
66;GTDGR;0.000242199
130;GTDGR;0.000787231
130;GTDGR;0.000764577
130;GTDGR;0.000775904
258;GTDGR;0.00272183
258;GTDGR;0.00271017
258;GTDGR;0.0027025
514;GTDGR;0.0101767
514;GTDGR;0.0101194
514;GTDGR;0.0101277
1026;GTDGR;0.0351132
1026;GTDGR;0.0353221
1026;GTDGR;0.0351559
2050;GTDGR;0.142048
2050;GTDGR;0.141212
2050;GTDGR;0.140885
4098;GTDGR;0.567104
4098;GTDGR;0.571119
4098;GTDGR;0.568976
8194;GTDGR;2.30975
8194;GTDGR;2.31547
8194;GTDGR;2.30924
16386;GTDGR;9.36988
16386;GTDGR;9.32955
16386;GTDGR;9.37996
32770;GTDGR;46.4147
32770;GTDGR;46.1341
32770;GTDGR;46.3773
65538;GTDGR;201.518
65538;GTDGR;203.417
65538;GTDGR;202.304
